chr	start	end	raw	cor	N	Ns
chr1	1	1000000	9850	10820.5848169069	NA	NA
chr1	1000001	2000000	10687	11148.4104100512	NA	NA
chr1	2000001	3000000	7139	7317.49567192527	1.34693328522488	1
chr1	3000001	4000000	5273	5330.67254627818	NA	NA
chr1	4000001	5000000	4490	4628.01194418762	NA	NA
chr1	5000001	6000000	4230	4356.23946341016	1.33144597511829	1
chr1	6000001	7000000	8220	8492.28823776754	1.68648906147537	2
chr1	7000001	8000000	5777	5918.35396612698	1.6054146112504	2
chr1	8000001	9000000	9182	9483.87163411384	2.51918722467374	3
chr1	9000001	10000000	10121	11004.6156104403	2.13290852489966	2
chr1	10000001	11000000	9195	9800.72394254505	2.15993941012057	2
chr1	11000001	12000000	8452	9478.83243931899	1.91868060044162	2
chr1	12000001	13000000	7149	7518.39372026401	1.57435130719833	2
chr1	13000001	14000000	6474	7219.57246838231	2.00475193166322	2
chr1	14000001	15000000	4363	4504.50915510771	1.58290972968435	2
chr1	15000001	16000000	7009	7247.42581444356	1.71797760515252	2
chr1	16000001	17000000	10543	10955.4963485143	NA	NA
chr1	17000001	18000000	9098	9278.00252702685	NA	NA
chr1	18000001	19000000	5604	5663.76976230157	1.83356124193549	2
chr1	19000001	20000000	7163	7250.5577352104	1.86149247514675	2
chr1	20000001	21000000	7258	7379.18841127843	1.83810156600319	2
chr1	21000001	22000000	8391	8469.9398393023	1.91158336268609	2
chr1	22000001	23000000	8233	8317.10254089351	NA	NA
chr1	23000001	24000000	8844	8954.62544271935	2.12399146535442	2
chr1	24000001	25000000	9409	9541.10615583367	2.17240202229718	2
chr1	25000001	26000000	8991	9085.86552191431	NA	NA
chr1	26000001	27000000	10080	10162.4581857189	2.14129745820192	2
chr1	27000001	28000000	10973	11267.9151430388	2.23085723171666	2
chr1	28000001	29000000	12764	12892.8511544374	NA	NA
chr1	29000001	30000000	8534	8641.68402463093	2.55756526688445	3
chr1	30000001	31000000	4254	4309.08300809245	NA	NA
chr1	31000001	32000000	8112	8254.95938665815	NA	NA
chr1	32000001	33000000	10253	10324.590711997	NA	NA
chr1	33000001	34000000	8724	8950.33609927856	2.0431879102776	2
chr1	34000001	35000000	3915	3970.62045128155	1.43154327446995	1
chr1	35000001	36000000	7432	7527.17358278068	2.17598048354155	2
chr1	36000001	37000000	9500	9679.90095932913	2.29772402872064	2
chr1	37000001	38000000	5570	5629.52092473725	NA	NA
chr1	38000001	39000000	6936	7026.87862120808	1.79137524889768	2
chr1	39000001	40000000	8365	8532.6407936733	NA	NA
chr1	40000001	41000000	9075	9172.27194396576	2.26118074419528	2
chr1	41000001	42000000	6874	6957.44762683627	1.83424631952866	2
chr1	42000001	43000000	5381	5434.74418524792	NA	NA
chr1	43000001	44000000	7268	7494.59147876911	NA	NA
