chr	start	end	raw	cor	N	Ns
chr1	1	500000	5593	5879.87931161363	NA	NA
chr1	500001	1000000	5101	5336.97990340914	NA	NA
chr1	1000001	1500000	4644	4709.30869295388	1.61051961123329	2
chr1	1500001	2000000	4674	4823.96750169262	NA	NA
chr1	2000001	2500000	4110	4196.46394308329	1.79357173473675	2
chr1	2500001	3000000	4447	4549.49093170955	1.69659243120552	2
chr1	3000001	3500000	3355	3378.78665807283	1.79200171841396	2
chr1	3500001	4000000	2759	2787.51065902046	NA	NA
chr1	4000001	4500000	2770	2869.96073230623	NA	NA
chr1	4500001	5000000	2438	2484.82402390649	1.47278449595492	1
chr1	5000001	5500000	2031	2062.27648517415	1.39824783554564	1
chr1	5500001	6000000	2831	2906.99465425144	1.68595803170408	2
chr1	6000001	6500000	3953	4047.64196441188	1.67843736080474	2
chr1	6500001	7000000	4074	4099.50713338391	1.95830623951781	2
chr1	7000001	7500000	2788	2824.73854957578	1.71949686461945	2
chr1	7500001	8000000	3037	3080.0092491552	1.64661441886588	2
chr1	8000001	8500000	4016	4050.06918195864	2.15033795562409	2
chr1	8500001	9000000	3718	3745.92210335843	2.23468270177721	2
chr1	9000001	9500000	4135	4164.18259160195	1.85180376432897	2
chr1	9500001	10000000	4784	4930.8505923411	2.13691734849155	2
chr1	10000001	10500000	4582	4610.65986170033	2.43301307602594	2
chr1	10500001	11000000	3789	3811.96326671871	1.84576776925594	2
chr1	11000001	11500000	3805	4255.99978524259	1.99815618326279	2
chr1	11500001	12000000	3941	3989.69825692401	1.72648451781214	2
chr1	12000001	12500000	3748	3771.13212445138	1.92877826154686	2
chr1	12500001	13000000	3398	3469.2302351889	1.80399771503811	2
chr1	13000001	13500000	3756	3933.83284771375	NA	NA
chr1	13500001	14000000	3881	3956.99810561647	2.84375200798575	3
chr1	14000001	14500000	2327	2386.74500086157	1.65204143545386	2
chr1	14500001	15000000	2219	2240.76680878049	1.51009484904558	2
chr1	15000001	15500000	3226	3260.99042728477	1.73842487052338	2
chr1	15500001	16000000	3561	3603.78412513359	1.82747763270179	2
chr1	16000001	16500000	4210	4462.54430744704	NA	NA
chr1	16500001	17000000	5276	5749.55646901386	1.01512954570546	1
chr1	17000001	17500000	4611	4738.66922629484	0.473416489823415	0
chr1	17500001	18000000	4545	4583.65857643364	NA	NA
chr1	18000001	18500000	2942	2954.87735551534	1.78997922031708	2
chr1	18500001	19000000	3126	3149.4825418319	1.98791542252371	2
chr1	19000001	19500000	3082	3106.18475449853	1.83643824418441	2
chr1	19500001	20000000	3691	3734.46922174107	1.90247252804534	2
chr1	20000001	20500000	3087	3140.38657171923	1.70817263580927	2
chr1	20500001	21000000	3102	3138.20865142009	1.7356637658974	2
chr1	21000001	21500000	3778	3799.98672318032	2.52627827651585	3
chr1	21500001	22000000	4042	4205.39647462508	1.70432877581759	2
chr1	22000001	22500000	4471	4487.89242709559	1.98417089990934	2
chr1	22500001	23000000	3112	3132.53691199504	NA	NA
chr1	23000001	23500000	3356	3376.63121673425	1.8913902268261	2
chr1	23500001	24000000	3943	3974.95065335164	1.99060101659215	2
chr1	24000001	24500000	3893	3931.2351934919	1.8754537959766	2
chr1	24500001	25000000	3253	3261.58449037868	1.89681879595446	2
chr1	25000001	25500000	3583	3603.54017902042	NA	NA
chr1	25500001	26000000	4081	4130.4079397756	2.44372486829939	2
chr1	26000001	26500000	3734	3750.98445762412	1.89340463025068	2
chr1	26500001	27000000	4623	4630.21387321447	2.09277308794048	2
chr1	27000001	27500000	4529	4709.56471102053	2.09081603911347	2
chr1	27500001	28000000	4550	4580.46928166161	2.03259473922981	2
chr1	28000001	28500000	4573	4584.6358056748	NA	NA
chr1	28500001	29000000	5518	5528.85867844447	2.70356549297548	3
chr1	29000001	29500000	4238	4244.17102466987	2.24033072844971	2
chr1	29500001	30000000	2809	2832.72120739069	2.58968623914211	3
chr1	30000001	30500000	2350	2350	1.37386789320164	1
chr1	30500001	31000000	2898	2921.48876970846	NA	NA
chr1	31000001	31500000	2823	2836.83239475683	NA	NA
chr1	31500001	32000000	4722	4781.77215189873	2.4484019906686	2
chr1	32000001	32500000	3971	3977.33191240455	2.01656625564709	2
chr1	32500001	33000000	4542	4553.18261650614	NA	NA
chr1	33000001	33500000	4451	4523.19930734382	2.20090623076635	2
chr1	33500001	34000000	3082	3116.11522953293	1.77676625127699	2
chr1	34000001	34500000	2079	2096.92874073327	1.44982678005759	1
chr1	34500001	35000000	2399	2406.25244486883	1.68151181813566	2
chr1	35000001	35500000	2723	2740.89806436027	1.66575095440658	2
chr1	35500001	36000000	3884	3906.80794478164	2.44322228553332	2
chr1	36000001	36500000	3690	3700.30906104407	2.21787674270022	2
chr1	36500001	37000000	4111	4226.54529528243	1.9853301566626	2
chr1	37000001	37500000	2887	2913.54237099981	NA	NA
chr1	37500001	38000000	2787	2811.43133833009	1.59699823718904	2
chr1	38000001	38500000	3822	3834.11580594679	1.9000913062169	2
chr1	38500001	39000000	2496	2540.94422138791	1.69602305941303	2
chr1	39000001	39500000	3084	3155.32937587094	NA	NA
chr1	39500001	40000000	3626	3648.57739693222	2.00814864469068	2
chr1	40000001	40500000	3773	3786.27467902466	1.79696102100942	2
chr1	40500001	41000000	3499	3523.16184392564	2.13878335839811	2
chr1	41000001	41500000	3327	3345.31896666144	1.83454182475218	2
chr1	41500001	42000000	2663	2687.66741150277	1.63307977143585	2
chr1	42000001	42500000	2028	2036.66805926021	1.3618283497735	1
chr1	42500001	43000000	2698	2730.01212214426	NA	NA
chr1	43000001	43500000	3498	3562.89456154396	NA	NA
chr1	43500001	44000000	3361	3437.47698802968	1.85322357065075	2
chr1	44000001	44500000	3753	3777.37160157335	2.06329932999318	2
chr1	44500001	45000000	3284	3293.28046434853	2.0882759613698	2
chr1	45000001	45500000	4087	4098.30312000497	2.0215625974047	2
chr1	45500001	46000000	4401	4506.03569198006	2.53763460616924	3
chr1	46000001	46500000	3972	3976.85972258099	2.32613933011164	2
chr1	46500001	47000000	3869	3901.49949075801	NA	NA
chr1	47000001	47500000	2811	2865.81735435409	1.48147648169484	1
chr1	47500001	48000000	3527	3709.04746781531	1.90628959742837	2
chr1	48000001	48500000	2664	2675.92929278725	1.80397590448316	2
chr1	48500001	49000000	2055	2061.25384416319	1.37086043138925	1
chr1	49000001	49500000	2067	2080.02511728444	1.7458962221174	2
chr1	49500001	50000000	2346	2359.42987484763	2.10734436833422	2
chr1	50000001	50500000	2516	2584.78633391823	2.21543983766583	2
chr1	50500001	51000000	2124	2139.52438896634	1.65429089720531	2
chr1	51000001	51500000	3526	3555.6756691346	2.90984107402092	3
chr1	51500001	52000000	4241	4261.30940060328	2.8432620725006	3
chr1	52000001	52500000	3317	3332.29523512924	2.32114012210519	2
chr1	52500001	53000000	3947	3968.79663109799	2.53095968946234	3
chr1	53000001	53500000	4389	4398.14814814815	2.49237740110157	2
chr1	53500001	54000000	3020	3040.88479678431	1.75643280852458	2
chr1	54000001	54500000	3219	3265.7723922011	1.9926426857834	2
chr1	54500001	55000000	3355	3355	1.69352142251067	2
chr1	55000001	55500000	3743	3757.82084541431	1.81823031283784	2
chr1	55500001	56000000	2661	2680.37374140286	1.97171011905531	2
chr1	56000001	56500000	1917	1934.78063402671	1.68682784290131	2
chr1	56500001	57000000	1927	1929.87164901373	1.54807995720232	2
chr1	57000001	57500000	2335	2346.18190294946	2.07803015689384	2
chr1	57500001	58000000	2123	2127.08400128246	1.96060702035346	2
chr1	58000001	58500000	2062	2075.70379646426	NA	NA
chr1	58500001	59000000	1798	1803.28362100956	1.24547588425699	1
chr1	59000001	59500000	2395	2407.27227405312	1.76494173154172	2
chr1	59500001	60000000	1870	1873.78880095553	1.46184731707242	1
chr1	60000001	60500000	1954	1983.64356950265	1.59223241949888	2
chr1	60500001	61000000	1672	1683.82720226874	1.62843032726438	2
chr1	61000001	61500000	2038	2056.53347971923	1.69596463021538	2
chr1	61500001	62000000	2113	2117.53151744734	2.11048153542057	2
chr1	62000001	62500000	3355	3406.08445465085	2.43099536344263	2
chr1	62500001	63000000	3689	3719.20740252329	2.23828210633851	2
chr1	63000001	63500000	2548	2564.76329288228	2.19303815752408	2
chr1	63500001	64000000	2759	2770.07475888603	2.27883584314858	2
chr1	64000001	64500000	2319	2331.59058918158	1.93326791340792	2
