chr	start	end	width	strand	name	raw	cor	N	Ns
chr1	1716724	1718492	1769	*	GNB1_12	75.9	75.9	1.62962962962963	2
chr1	1718761	1718876	116	*	GNB1_11	49.52	49.52	2.12646269457864	2
chr1	1720492	1720708	217	*	GNB1_10	50.26	50.26	2.15823939881911	2
chr1	1721834	1722035	202	*	GNB1_9	44.39	44.39	1.90617283950617	2
chr1	1724684	1724750	67	*	GNB1_8	0	0	NA	NA
chr1	1735858	1736020	163	*	GNB1_7	46.93	46.93	2.01524422973698	2
chr1	1737914	1737977	64	*	GNB1_6	93.61	93.61	2.00987654320988	2
chr1	1747195	1747301	107	*	GNB1_5	49.04	49.04	2.10585077831455	2
chr1	1749276	1749314	39	*	GNB1_4	42.06	42.06	1.8061191626409	2
chr1	1756836	1756938	103	*	GNB1_3	47.35	47.35	2.03327965646806	2
chr1	1770629	1770677	49	*	GNB1_2	0	0	0	0
chr1	1822259	1822556	298	*	GNB1_1	0	0	NA	NA
chr1	2487804	2488172	369	*	TNFRSF14_1	52.39	52.39	2.24970477724101	2
chr1	2489165	2489273	109	*	TNFRSF14_2	52.2	52.2	2.24154589371981	2
chr1	2489782	2489907	126	*	TNFRSF14_3	109.12	109.12	2.34288781535158	2
chr1	2491262	2491417	156	*	TNFRSF14_4	0	0	NA	NA
chr1	2492063	2492153	91	*	TNFRSF14_5	47.82	47.82	2.05346215780998	2
chr1	2493112	2493254	143	*	TNFRSF14_6	46.82	46.82	2.01052066559313	2
chr1	2494304	2494335	32	*	TNFRSF14_7	89.55	89.55	1.92270531400966	2
chr1	2494587	2497061	2475	*	TNFRSF14_8	120.49	120.49	1.68416532474503	2
chr1	9711790	9711860	71	*	PIK3CD_1	0	0	NA	NA
chr1	9751525	9751629	105	*	PIK3CD_2	0	0	NA	NA
chr1	9770482	9770654	173	*	PIK3CD_3	43.87	43.87	1.88384326355341	2
chr1	9775599	9775827	229	*	PIK3CD_4	115.24	115.24	2.47428878153516	2
chr1	9775907	9776136	230	*	PIK3CD_5	61.31	61.31	2.63274288781535	3
chr1	9776498	9776677	180	*	PIK3CD_6	106.73	106.73	2.29157273215244	2
chr1	9777017	9777166	150	*	PIK3CD_7	103.67	103.67	2.22587224906065	2
chr1	9777595	9777684	90	*	PIK3CD_8	62.76	62.76	2.69500805152979	3
chr1	9778752	9778973	222	*	PIK3CD_9	54.12	54.12	2.32399355877617	2
chr1	9779979	9780075	97	*	PIK3CD_10	53.21	53.21	2.28491680085883	2
chr1	9780170	9780300	131	*	PIK3CD_11	50.68	50.68	2.17627482555019	2
chr1	9780669	9780719	51	*	PIK3CD_12	44.73	44.73	1.9207729468599	2
chr1	9780800	9780967	168	*	PIK3CD_13	44.73	44.73	1.9207729468599	2
chr1	9781185	9781306	122	*	PIK3CD_14	0	0	NA	NA
chr1	9781502	9781645	144	*	PIK3CD_15	47.01	47.01	2.01867954911433	2
chr1	9781819	9781918	100	*	PIK3CD_16	0	0	NA	NA
chr1	9782033	9782211	179	*	PIK3CD_17	46.13	46.13	1.9808910359635	2
chr1	9782302	9782414	113	*	PIK3CD_18	46.13	46.13	1.9808910359635	2
chr1	9782586	9782664	79	*	PIK3CD_19	46.58	46.58	2.00021470746108	2
chr1	9783183	9783350	168	*	PIK3CD_20	47.75	47.75	2.0504562533548	2
chr1	9784027	9784150	124	*	PIK3CD_21	52.55	52.55	2.25657541599571	2
chr1	9784334	9784479	146	*	PIK3CD_22	55.06	55.06	2.36435856146001	2
chr1	9784862	9784994	133	*	PIK3CD_23	48.66	48.66	2.08953301127214	2
chr1	9786967	9789172	2206	*	PIK3CD_24	226.58	226.58	2.18894256575416	2
chr1	11166588	11167557	970	*	MTOR_58	88.99	88.99	1.91068169618894	2
chr1	11168238	11168343	106	*	MTOR_57	51.47	51.47	2.2101986044015	2
chr1	11169347	11169427	81	*	MTOR_56	46.05	46.05	1.97745571658615	2
chr1	11169706	11169786	81	*	MTOR_55	49.93	49.93	2.14406870638755	2
chr1	11172909	11172974	66	*	MTOR_54	49.47	49.47	2.12431561996779	2
chr1	11174375	11174510	136	*	MTOR_53	99.18	99.18	2.12946859903382	2
chr1	11174870	11174944	75	*	MTOR_52	92.02	92.02	1.97573805689748	2
chr1	11175453	11175525	73	*	MTOR_51	40.97	40.97	1.75931293612453	2
chr1	11177061	11177143	83	*	MTOR_50	48.42	48.42	2.0792270531401	2
chr1	11181303	11181425	123	*	MTOR_49	47.33	47.33	2.03242082662373	2
chr1	11182036	11182183	148	*	MTOR_48	81.41	81.41	1.74793344068706	2
chr1	11184555	11184690	136	*	MTOR_47	46.59	46.59	2.00064412238325	2
chr1	11186679	11186853	175	*	MTOR_46	86.26	86.26	1.85206655931294	2
chr1	11187067	11187201	135	*	MTOR_45	81	81	1.73913043478261	2
chr1	11187681	11187863	183	*	MTOR_44	48.17	48.17	2.06849168008588	2
chr1	11188061	11188183	123	*	MTOR_43	41.09	41.09	1.76446591519055	2
chr1	11188511	11188609	99	*	MTOR_42	41.86	41.86	1.79753086419753	2
chr1	11188912	11189008	97	*	MTOR_41	44.02	44.02	1.89028448738594	2
chr1	11189795	11189895	101	*	MTOR_40	43.38	43.38	1.86280193236715	2
chr1	11190586	11190834	249	*	MTOR_39	41.53	41.53	1.78336017176597	2
chr1	11193137	11193254	118	*	MTOR_38	47.86	47.86	2.05517981749866	2
chr1	11194408	11194523	116	*	MTOR_37	41.58	41.58	1.78550724637681	2
chr1	11199361	11199492	132	*	MTOR_36	46.8	46.8	2.00966183574879	2
chr1	11199590	11199715	126	*	MTOR_35	46.8	46.8	2.00966183574879	2
chr1	11204705	11204812	108	*	MTOR_34	44.86	44.86	1.92635534084809	2
chr1	11205025	11205102	78	*	MTOR_33	50.09	50.09	2.15093934514224	2
chr1	11206733	11206848	116	*	MTOR_32	86.62	86.62	1.85979602791197	2
chr1	11210183	11210283	101	*	MTOR_31	40.21	40.21	1.72667740203972	2
chr1	11217209	11217348	140	*	MTOR_30	78.47	78.47	1.68480944712829	2
chr1	11227499	11227574	76	*	MTOR_29	0	0	NA	NA
chr1	11259315	11259460	146	*	MTOR_28	88.42	88.42	1.89844337090714	2
chr1	11259598	11259760	163	*	MTOR_27	43.8	43.8	1.88083735909823	2
chr1	11264618	11264760	143	*	MTOR_26	43.35	43.35	1.86151368760064	2
chr1	11269369	11269515	147	*	MTOR_25	108.8	108.8	2.33601717659689	2
chr1	11270871	11270963	93	*	MTOR_24	94.94	94.94	2.03843263553408	2
chr1	11272369	11272531	163	*	MTOR_23	39.62	39.62	1.70134192163178	2
chr1	11272853	11272965	113	*	MTOR_22	43.74	43.74	1.87826086956522	2
chr1	11273456	11273623	168	*	MTOR_21	40.81	40.81	1.75244229736983	2
chr1	11276205	11276291	87	*	MTOR_20	104.85	104.85	2.2512077294686	2
chr1	11288725	11288975	251	*	MTOR_19	91.41	91.41	1.96264090177134	2
chr1	11290982	11291111	130	*	MTOR_18	102.23	102.23	2.19495437466452	2
chr1	11291357	11291491	135	*	MTOR_17	89.13	89.13	1.91368760064412	2
chr1	11292493	11292585	93	*	MTOR_16	42.12	42.12	1.80869565217391	2
chr1	11293455	11293544	90	*	MTOR_15	47.52	47.52	2.04057971014493	2
chr1	11294200	11294322	123	*	MTOR_14	90.95	90.95	1.95276435856146	2
chr1	11297900	11298105	206	*	MTOR_13	85.82	85.82	1.84261943102523	2
chr1	11298459	11298674	216	*	MTOR_12	45.75	45.75	1.96457326892109	2
chr1	11300360	11300604	245	*	MTOR_11	90.45	90.45	1.94202898550725	2
chr1	11301610	11301738	129	*	MTOR_10	47.32	47.32	2.03199141170156	2
chr1	11303171	11303357	187	*	MTOR_9	44.94	44.94	1.92979066022544	2
chr1	11307682	11307790	109	*	MTOR_8	46.42	46.42	1.99334406870639	2
chr1	11307876	11308151	276	*	MTOR_7	89.18	89.18	1.91476113794954	2
chr1	11313896	11314030	135	*	MTOR_6	51.7	51.7	2.22007514761138	2
chr1	11316049	11316249	201	*	MTOR_5	80.55	80.55	1.72946859903382	2
chr1	11316990	11317222	233	*	MTOR_4	96.03	96.03	2.06183574879227	2
chr1	11318542	11318650	109	*	MTOR_3	47.98	47.98	2.06033279656468	2
chr1	11319305	11319480	176	*	MTOR_2	47.6	47.6	2.04401502952228	2
chr1	11322502	11322608	107	*	MTOR_1	0	0	NA	NA
chr1	23884421	23884906	486	*	ID3_3	63.06	63.06	2.70789049919485	3
chr1	23885426	23885510	85	*	ID3_2	67.68	67.68	2.90628019323672	3
chr1	23885618	23886285	668	*	ID3_1	142.84	142.84	3.06688137412775	3
chr1	24018269	24018319	51	*	RPL11_1	0.16	0.16	0.00687063875469673	0
chr1	24019099	24019249	151	*	RPL11_2	0.13	0.13	0.00558239398819109	0
chr1	24020297	24020403	107	*	RPL11_3	0.26	0.26	0.0111647879763822	0
chr1	24021150	24021281	132	*	RPL11_4	0	0	0	0
chr1	24022288	24022398	111	*	RPL11_5	0.13	0.13	0.00279119699409554	0
chr1	24022834	24022915	82	*	RPL11_6	0	0	0	0
chr1	27022522	27024031	1510	*	ARID1A_1	0	0	NA	NA
chr1	27056142	27056354	213	*	ARID1A_2	99.57	99.57	2.1378421900161	2
chr1	27057643	27058095	453	*	ARID1A_3	91.06	91.06	1.95512614063339	2
chr1	27059167	27059283	117	*	ARID1A_4	38.96	38.96	1.67300053676865	2
chr1	27087347	27087587	241	*	ARID1A_5	100.52	100.52	2.15823939881911	2
chr1	27087875	27087964	90	*	ARID1A_6	43.85	43.85	1.88298443370907	2
chr1	27088643	27088810	168	*	ARID1A_7	86.35	86.35	1.85399892646269	2
chr1	27089464	27089776	313	*	ARID1A_8	90.16	90.16	1.9358024691358	2
chr1	27092712	27092857	146	*	ARID1A_9	103.32	103.32	2.21835748792271	2
chr1	27092948	27093057	110	*	ARID1A_10	50.68	50.68	2.17627482555019	2
chr1	27094281	27094490	210	*	ARID1A_11	81.1	81.1	1.74127750939345	2
chr1	27097610	27097817	208	*	ARID1A_12	88.43	88.43	1.89865807836822	2
chr1	27098991	27099123	133	*	ARID1A_13	46.77	46.77	2.00837359098229	2
chr1	27099303	27099478	176	*	ARID1A_14	49.81	49.81	2.13891572732152	2
chr1	27099837	27099987	151	*	ARID1A_15	47.81	47.81	2.05303274288782	2
chr1	27100071	27100208	138	*	ARID1A_16	90.71	90.71	1.94761137949544	2
chr1	27100293	27100389	97	*	ARID1A_17	42.9	42.9	1.84219001610306	2
chr1	27100820	27101711	892	*	ARID1A_18	137.08	137.08	1.95469672571122	2
chr1	27102068	27102198	131	*	ARID1A_19	86.14	86.14	1.84949006977992	2
chr1	27105514	27108601	3088	*	ARID1A_20	290.52	290.52	2.14363929146538	2
chr1	33116749	33116923	175	*	RBBP4_1	0	0	NA	NA
chr1	33117515	33117662	148	*	RBBP4_2	63.01	63.01	2.705743424584	3
chr1	33123028	33123173	146	*	RBBP4_3	52.94	52.94	2.27332259796028	2
chr1	33133826	33133999	174	*	RBBP4_4	102.62	102.62	2.20332796564681	2
chr1	33134340	33134455	116	*	RBBP4_5	103.73	103.73	2.22716049382716	2
chr1	33134573	33134733	161	*	RBBP4_6	53.09	53.09	2.27976382179281	2
chr1	33134832	33134958	127	*	RBBP4_7	103.67	103.67	2.22587224906065	2
chr1	33135087	33135164	78	*	RBBP4_8	50.58	50.58	2.1719806763285	2
chr1	33138051	33138127	77	*	RBBP4_9	97.3	97.3	2.08910359634997	2
chr1	33138243	33138300	58	*	RBBP4_10	51.54	51.54	2.21320450885668	2
chr1	33138392	33138502	111	*	RBBP4_11	51.54	51.54	2.21320450885668	2
chr1	33145241	33151812	6572	*	RBBP4_12	216.38	216.38	1.47740203972088	1
chr1	33473541	33476434	2894	*	AK2_7	2.66	2.66	0.0571121846484165	0
chr1	33478808	33479003	196	*	AK2_6	0	0	0	0
chr1	33480123	33480195	73	*	AK2_5	0	0	0	0
chr1	33486968	33487062	95	*	AK2_4	0.08	0.08	0.00343531937734836	0
chr1	33487194	33487304	111	*	AK2_3	0.08	0.08	0.00343531937734836	0
chr1	33490043	33490168	126	*	AK2_2	0	0	0	0
chr1	33502337	33502512	176	*	AK2_1	0.48	0.48	0.0206119162640902	0
chr1	36931644	36932509	866	*	CSF3R_17	149.67	149.67	2.18228663446055	2
chr1	36932831	36932912	82	*	CSF3R_16	46.25	46.25	1.98604401502952	2
chr1	36933159	36933252	94	*	CSF3R_15	48.06	48.06	2.06376811594203	2
chr1	36933423	36933563	141	*	CSF3R_14	99.05	99.05	2.12667740203972	2
chr1	36933676	36933822	147	*	CSF3R_13	50.99	50.99	2.18958668813741	2
chr1	36934757	36934858	102	*	CSF3R_12	45.52	45.52	1.95469672571122	2
chr1	36935253	36935441	189	*	CSF3R_11	50.56	50.56	2.17112184648417	2
chr1	36937034	36937247	214	*	CSF3R_10	85.22	85.22	1.82973698336017	2
chr1	36937667	36937740	74	*	CSF3R_9	45.2	45.2	1.94095544820182	2
chr1	36937839	36937992	154	*	CSF3R_8	45.2	45.2	1.94095544820182	2
chr1	36938118	36938287	170	*	CSF3R_7	40.48	40.48	1.73827160493827	2
chr1	36939036	36939223	188	*	CSF3R_6	46.65	46.65	2.00322061191626	2
chr1	36939365	36939488	124	*	CSF3R_5	40.9	40.9	1.75630703166935	2
chr1	36940978	36941274	297	*	CSF3R_4	88.17	88.17	1.89307568438003	2
chr1	36945034	36945117	84	*	CSF3R_3	41.01	41.01	1.7610305958132	2
chr1	36947079	36947138	60	*	CSF3R_2	45.21	45.21	1.94138486312399	2
chr1	36948412	36948915	504	*	CSF3R_1	0	0	NA	NA
chr1	39303869	39305376	1508	*	RRAGC_7	160.09	160.09	2.2020397208803	2
chr1	39311611	39311759	149	*	RRAGC_6	108.67	108.67	2.33322597960279	2
chr1	39317287	39317429	143	*	RRAGC_5	57.66	57.66	2.47600644122383	2
chr1	39318046	39318160	115	*	RRAGC_4	62.1	62.1	2.66666666666667	3
chr1	39321380	39321579	200	*	RRAGC_3	59.69	59.69	2.56317767042405	3
chr1	39322551	39322754	204	*	RRAGC_2	126.41	126.41	2.71411701556629	3
chr1	39325082	39325495	414	*	RRAGC_1	0	0	NA	NA
chr1	43803475	43803598	124	*	MPL_1	42.9	42.9	1.84219001610306	2
chr1	43803770	43803902	133	*	MPL_2	86.83	86.83	1.86430488459474	2
chr1	43804213	43804391	179	*	MPL_3	83.42	83.42	1.791089640365	2
chr1	43804942	43805240	299	*	MPL_4	105.48	105.48	2.26473429951691	2
chr1	43805635	43805797	163	*	MPL_5	47.84	47.84	2.05432098765432	2
chr1	43806058	43806184	127	*	MPL_6	49.45	49.45	2.12345679012346	2
chr1	43812116	43812300	185	*	MPL_7	50.11	50.11	2.15179817498658	2
chr1	43812463	43812605	143	*	MPL_8	44.86	44.86	1.92635534084809	2
chr1	43814514	43814673	160	*	MPL_9	0	0	NA	NA
chr1	43814934	43815030	97	*	MPL_10	0	0	NA	NA
chr1	43817887	43817974	88	*	MPL_11	100.7	100.7	2.16210413311863	2
chr1	43818189	43820135	1947	*	MPL_12	163.9	163.9	2.34460547504026	2
chr1	47681962	47685846	3885	*	TAL1_6	157.28	157.28	2.09898013955985	2
chr1	47689676	47689770	95	*	TAL1_5	34.49	34.49	1.48105206655931	1
chr1	47691115	47691561	447	*	TAL1_4	0	0	NA	NA
chr1	47694868	47695023	156	*	TAL1_3	0	0	0	0
chr1	47695326	47695443	118	*	TAL1_2	0	0	0	0
chr1	47697839	47698007	169	*	TAL1_1	0	0	NA	NA
chr1	47715811	47717594	1784	*	STIL_17	268.8	268.8	2.27289318303811	2
chr1	47725961	47726211	251	*	STIL_16	99.18	99.18	2.12946859903382	2
